column1,column2
H2!Studio Alemni, 
Creator,Jaiden
Lead Developer, 
Programmer, 
Artist, 
 , 
Developer,Fangsoft
Writer, 
Composer, 
Sound Designer, 
Artist, 
H2!Collaboration, 
Programming,KK20
 , 
Programming Consultation,KK20
 ,Boros “Blizzard” Mikic
 ,Ryexander
 , 
Design Consultation,KoroknRoll
 ,mf_WillBlack(Jeff)
 ,Archeia
 , 
Sprite Artwork,Burt
 ,Noam Goldfarb
 , 
Character Artwork,Ryuuen Tanaka
 , 
Promotional Artwork,Ryuuen Tanaka
 , 
Writing / Editing,KoroknRoll
 ,tort
 ,mf_WillBlack(Jeff)
 ,june
 , 
Music,DivingInSpace
 , 
Quality Assurance,tort
,codapill
,KK20
,Koroknroll
,mf_WillBlack(Jeff)
 , 
H2!Localization - Japanese, 
Translation,obatatsu(S.N.)
 , 
Quality Assurance,obatatsu(S.N.)
 , 
H2!Contributors, 
Outstanding Contributor,Dice
 ,OzzyTheOne
 ,Kayne
 , 
Early Contributor,KainRezo072
 ,Somber
 ,Eddie P.
 ,Dovigi M.
 ,Cody T.
 ,Ryan V.
 ,DJ Slimey
 ,Nikorasu
 ,Kayne
 ,Vyxxen
 ,FoldingShrimp18
 ,Jess H.
 ,Shrimpses
 ,Steve R.
 ,Jazz Stewart
 , 
H2!Resources and Assets, 
H3!Scripts & Plugins, 
MKXP-Z Engine,Amaryllis Kulla (“Ancurio”)
 ,Struma
 ,Splendide Imaginarius
...And Its Many Contributors,WaywardHeart
,hat_kid
,Eblo
,rainefall
,Savordez
,Aeodyn
 , 
Tankentai Battle System,Enu
 , 
Event Range Conditions,ForeverZer0 
Screen Debugger, 
 , 
Animated Windows,Gameus / Game_Guy
 , 
MMW,Heretic
,Wachunga
 , 
Event Sensor,Heretic
Easy Chests, 
Self Switchs Anywhere, 
Dynamic Lighting, 
Timed Input, 
Unlimited Conditions, 
 , 
Tons of Add-Ons,"Boros ""Blizzard"" Mikic"
Debug System, 
Reload Data, 
Party Switcher, 
 , 
Active Time Battle System,Paradog
RGSS Extensions, 
 , 
Screenshake Methods,TheoAllen
 , 
SBS Tankantai XP Port,Victor Sant
 , 
Enemy AI,Yanfly
Quest System, 
 , 
Pixel Movement,f0tz!baerchen 
 ,arevulopapo
 ,Caesar
 ,Fanha Giang 
 ,Caldaron
 ,Abt Ploutôn 
 , 
H3!Artwork & Graphics, 
Tileset Sprites,REFMAP
 ,Frogge
 , 
Character Sprites,REFMAP
,Enterbrain
 , 
Battler Sprites,Enterbrain
 , 
Icon Sprites,CazWolf
,Whitecat
,Miao (CounterClockWise)
,Avery
,Archeia
,猫屋 (neko.moo.jp)
 , 
Effects Animations,Dreams Circle
,JosephSeraph
 , 
H3!Music & Sound, 
Background Music,Enterbrain
,PeriTune
,Aaron Krogh
 , 
Sound Effects,Enterbrain
,Tao & Sound
,WOW Sound SG
 , 
H2!Beta Testers, 
8bitbartabas,KoroknRoll
Actuallyatortillachip,Kraaler
AquariusKamui,Kyuukon
Blizzard,LavaSlug
Charlottezxz,Lunesis
CodaPill,mf_WillBlack(Jeff)
DedeSans,NeoSoulGamer
DJSlimey,Nikorasu
DriftwoodGaming,OzzytheOne
Hanamaru,Reillo9
Fangsoft,ronaldbabe
HawkZombie,RunicDice
Hyblitz,Sawyer Friend
IndrahLadyPotato,SergeSkunk
Jaguarnick,Skyforger
Jazz Stewert,Somber
JkWeath,Trev
Johnny D.,Triplemoon
KainRezo072,u/TheMoonIsFurious
Kayne,Zefir
KK20,Zexion
 , 
H3!Special Thanks, 
RPGZexion,Benny (“Cash”)
Gameus,Archeia
SoulShaker3,Sorata der Schilderich
LavenderSiren,Blizzard
TrueCynder,Ryexander
DivingInSpace,HawkZombie
TheRealTron,Studio Blue
d757gaming,Mari
Clockwork Prince,Riggy2k3
Yukimkun,mf_WillBlack(Jeff)
Caz,Eblo
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
